setlist_id,venue_id,era_name,song_name,song_info,song_order,Unnamed: 0,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
13a6b159,4bd637ce,1989,shake it off,,36,336.0,1989,6.0,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.0561,0.647,0.785,0.0,0.148,-5.414,0.165,160.015,0.943,79.0
13a6b159,4bd637ce,1989,wildest dreams,Shortened,37,339.0,1989,9.0,59HjlYCeBsxdI0fcm3zglw,spotify:track:59HjlYCeBsxdI0fcm3zglw,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,76.0
13a6b159,4bd637ce,1989,bad blood,Shortened,38,338.0,1989,8.0,273dCMFseLcVsoSWx59IoE,spotify:track:273dCMFseLcVsoSWx59IoE,0.0871,0.65,0.802,6.54e-06,0.148,-6.114,0.181,170.146,0.295,75.0
13a6b159,4bd637ce,Surprise Songs,hits different,Live debut; on guitar,39,,,,,,,,,,,,,,,
13a6b159,4bd637ce,Surprise Songs,the moment i knew,Live debut; on piano,40,94.0,Red (Taylor's Version),17.0,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,70.0
13a6b159,4bd637ce,Midnights,lavender haze,extended intro,41,65.0,Midnights,1.0,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,85.0
13a6b159,4bd637ce,Midnights,antihero,,42,67.0,Midnights,3.0,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,92.0
13a6b159,4bd637ce,Midnights,midnight rain,,43,70.0,Midnights,6.0,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,85.0
13a6b159,4bd637ce,Midnights,vigilante shit,,44,72.0,Midnights,8.0,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,81.0
13a6b159,4bd637ce,Midnights,bejeweled,,45,73.0,Midnights,9.0,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,84.0
13a6b159,4bd637ce,Midnights,mastermind,,46,77.0,Midnights,13.0,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78.0
